S1 Overall,S1 Assignments,S1 Exit Tickets,S1 MCQ Tests,S1 FRQ Tests,S1 Final Exam,S2 Overall,S2 Assignments,S2 Exit Tickets,S1 MCQ Tests,S2 FRQ Tests,S2 Final Exam,AP Exam
87,82.52,98.75,84,92.5,77.5,85,82.05,97.33,83.64,87.31,77.5,4
94,100,98.75,89,89.17,97.5,91,100,100,85.91,87.69,82.5,4
97,100,100,95,97.5,90,98,100,100,95.45,94.62,100,5
96,100,100,93,97.5,90,94,99.49,100,91.36,93.46,87.5,5
96,100,100,89,95,97.5,97,100,100,90,98.85,97.5,5
92,100,98.75,83,92.92,90,88,100,100,75.91,87.31,80,4
60,98.41,68.75,39,56.67,37.5,,,,,,,
94,84.8,98.75,95,97.5,95,90,78.46,98.67,90,90.38,95,5
96,98.81,98.75,92,95,97.5,94,96.92,97.33,92.73,89.62,97.5,5
63,96.43,78.75,49,57.08,35,,,,,,,
78,48.81,87.5,79,88.75,90,,,,,,,4
65,93.15,61.25,53,60.83,55,65,84.66,77.33,50,61.54,57.5,2
84,58.73,98.75,88,90,87.5,83,63.21,97.33,85.45,90,77.5,5
90,91.67,95,85,92.08,87.5,88,92.39,97.33,84.09,90,75,5
69,80.4,86.25,62,68.75,50,62,72.49,78.67,58.18,65,35,2
95,99.6,100,91,92.92,92.5,97,100,100,94.09,97.69,95,4
92,96.83,98.75,89,91.67,87.5,91,96.37,96,90.45,84.62,90,5
93,93.2,96.25,88,94.17,95,91,87.82,98.67,90.45,91.92,87.5,5
98,100,100,98,99.17,90,98,100,98.67,96.36,97.69,95,5
94,99.6,100,91,93.33,87.5,94,97.93,100,90.91,91.54,90,5
86,79.37,91.25,87,85.42,90,84,73.3,97.33,80.91,88.46,80,4
87,97.62,95,81,78.33,90,83,88.32,100,73.64,84.62,75,4
81,98.79,88.75,72,79.17,65,82,96.95,97.33,65.45,85.77,70,3
95,98.79,100,90,95,92.5,92,97.41,100,86.82,91.92,82.5,5
87,100,96.25,73,87.08,82.5,86,95.38,98.67,81.36,85,67.5,3
68,64.11,85,67,67.92,60,74,70.77,92,72.73,73.85,60,2
96,99.21,98.75,95,96.67,90,98,98.46,100,96.82,96.54,97.5,5
94,99.21,100,86,94.58,92.5,94,98.98,98.67,91.36,93.46,87.5,5
95,96.8,100,94,96.25,90,94,87.82,100,97.27,96.15,90,5
91,88.89,100,86,95.83,82.5,80,70.47,94.67,80,81.54,72.5,5
55,75.6,55,49,50.42,45,72,95.38,86.67,58.18,66.92,60,3
96,100,100,91,94.17,95,94,100,100,90.91,91.15,87.5,5
97,100,100,96,96.67,90,92,95.94,98.67,85.45,93.08,90,5
93,95.2,98.75,96,87.5,87.5,90,90.48,100,85.91,90.77,85,
93,100,96.25,93,86.67,92.5,91,90.86,97.33,91.82,88.85,87.5,5
72,90.8,80,57,68,70,80,93.91,80,81.82,77.69,60,2
95,100,100,94,90.42,90,96,97.46,100,94.55,97.69,92.5,5
88,100,96.25,78,90,77.5,89,99.49,98.67,84.55,87.31,72.5,4
80,89.6,96.25,74,77.08,67.5,82,97.95,98.67,75.91,81.92,57.5,4
83,101.98,87.5,66,84.17,80,85,100,97.33,74.55,88.08,62.5,2
78,78,95,72,76.67,72.5,69,51.32,85.33,68.64,77.31,65,
94,99.21,98.75,89,98.33,82.5,91,95.77,98.67,85.45,95,77.5,5
69,75.79,78.75,63,65,67.5,,,,,,,
84,72.62,93.75,76,92.08,87.5,80,79.19,92,73.18,88.85,62.5,4
94,99.19,100,93,92.5,87.5,96,97.97,100,90,96.92,97.5,4
83,100,95,73,81.67,70,83,98.48,98.67,75,82.69,60,3
82,100,88.75,67,85.83,72.5,84,98.46,90.67,75.45,88.08,62.5,4
94,99.2,100,92,96.67,82.5,95,95.9,100,95,95.77,87.5,5
93,94.44,100,90,96.67,80,88,83.25,100,85.45,89.62,82.5,4
89,97.22,93.75,83,89.58,85,87,100,98.67,86.36,86.92,60,5
95,97.15,100,91,97.08,92.5,92,100,100,88.64,93.08,77.5,5
88,91.67,97.5,84,87.08,85,85,93.91,96,78.18,79.62,80,4
94,100,97.5,91,95,87.5,93,100,100,90,92.31,82.5,5
94,100,98.75,91,96.67,82.5,98,100,100,94.55,97.69,97.5,5
91,96,100,87,89.17,82.5,86,90.58,98.67,83.18,85.38,70,
93,97.22,98.75,88,94.17,87.5,91,97.91,100,87.27,86.92,82.5,4
96,99.6,100,92,96.67,92.5,94,97.97,100,89.55,95.77,90,5
92,93.65,100,87,91.67,90,93,94.92,96,89.55,95,90,5
95,100,100,95,97.08,82.5,94,98.98,100,89.55,95.77,85,5
97,98.8,100,95,97.08,92.5,94,90.36,100,94.55,95.38,92.5,5
94,99.6,100,89,95.83,85,87,94.92,100,80.45,87.69,75,4
95,99.6,100,94,91.25,92.5,96,100,98.67,92.27,94.62,95,5
95,100,98.75,91,95.42,87.5,94,98.98,93.33,90.45,95,90,5
64,99.21,93.75,53,52.5,27.5,75,100,94.67,54.55,78.46,47.5,1
93,99.6,97.5,94,85.42,92.5,89,100,100,80.91,88.08,77.5,4
81,88.49,97.5,71,80.42,70,82,100,94.67,71.36,80,65,4
98,98.81,100,97,99.17,97.5,95,98.98,98.67,98.18,91.92,85,5
92,97.22,100,86,91.67,87.5,89,91.37,100,80.45,94.62,77.5,4
98,99.6,100,98,98.75,90,98,99.49,100,96.36,98.46,95,5
98,99.6,100,99,96.67,95,98,100,98.67,97.73,96.54,95,5
81,99.21,93.75,64,77.5,75,80,94.87,97.33,70,81.15,55,
85,98.41,91.25,77,84.17,75,87,97.97,94.67,81.82,84.62,77.5,
97,100,100,95,94.58,97.5,98,100,100,95,97.31,97.5,5
98,100,100,99,96.25,95,96,98.95,100,93.64,96.92,92.5,5
84,98.81,93.75,74,81.25,72.5,81,96.89,88,78.18,80.38,60,2
87,98.02,93.75,80,79.58,90,85,97.44,97.33,76.36,81.54,75,
88,69.17,96.25,88,91.67,97.5,88,61.78,100,92.27,96.15,90,5
44,33.2,61.25,46.67,47.5,30,,,,,,,
93,92.46,92.5,93,94.58,90,91,89.64,94.67,87.27,95,87.5,4
93,97.62,100,91,90.83,87.5,93,97.97,97.33,91.82,91.15,87.5,5
84,80,90,87,89.17,72.5,70,79.49,64,75.45,55,82.5,2
93,98.4,98.75,90,90,87.5,92,97.95,96,90.45,90.77,82.5,5
86,82.52,96.25,82,88.33,80,85,80.2,98.67,84.09,87.69,75,4
94,99.6,100,93,88.33,90,94,98.43,98.67,90.91,91.92,92.5,5
79,99.6,85,69,83.75,57.5,80,98.98,92,68.64,80.38,60,3
93,100,100,92,90,85,96,98.98,98.67,94.55,95.77,90,5
88,99.21,93.75,78,85.83,87.5,89,98.98,98.67,79.09,91.15,77.5,4
96,97.2,100,96,97.08,87.5,94,98.98,100,91.82,91.54,90,5
96,97.22,98.75,96,98.75,90,94,91.37,100,96.36,90.77,92.5,5
96,100,100,95,95.42,90,98,100,100,95.45,96.54,100,5
82,88.1,91.25,76,80.42,77.5,77,68.91,94.67,76.36,76.54,75,
94,99.6,95,94,94.58,85,84,92.31,100,80,80.38,67.5,4
78,83.73,90,64,87.92,62.5,80,84.77,89.33,72.73,84.62,70,4
100,100,100,100,98.75,100,97,91.28,100,98.64,98.08,100,5
80,92.46,87.5,69,72.92,85,76,88.08,86.67,68.18,78.08,60,3
